Bank Code,IFSC
MOGX,UTIB0SMCB01
MOUX,NA
MPCX,UTIB0SMPCB1
MPDX,IBKL0209M01
MPRX,CBIN0MPABAA
MRBX,PUNB0RRBMRB
MRTX,IBKL0101MCB
MSAX,SRCB0001MCB
MSBL,HDFC0CMALAD
MSBX,IBKL0553MSC
MSCI,MSCI0082002
MSCX,YESB0MSCB01
MSNU,MSNU0000001
MSNX,GSCB0MSN001
MSOX,HDFC0CMANCB
MSSX,IBKL01241MB
MUBL,MUBL0000001
MUBX,IBKL0031MCB
MUCG,UTIB0SMUCBG
MUDX,HDFC0CMUDCB
MUNX,UTIB0STMNBI
MUPX,ICIC00MUPCB
MURX,WBSC0MCCB01
MUSX,HDFC0CMUSLM
MVCX,HDFC0CTMCBL
MVIX,HDFC0CMPSSB
MYAX,YESB0MCA001
MYCX,ORCB0MYB001
MYSX,KSCB0007001
MZCX,YESB0MUDC01
MZRX,SBIN0RRMIGB
NABX,HDFC0CNSBLN
NACX,IBKL0780NCB
NADX,IBKL0114NUB
NAGX,SBIN0RRNLGB
NAIX,YESB0NDCB01
NALX,UTIB0SNUC01
NANX,UTIB0SNDCC1
NASX,ICIC00NDCCB
NAUX,RSCB0028099
NAVX,NVNM0000001
NAWX,IBKL0427NCB
NBBX,UTIB0SNCB01
NBCX,UTIB0SNUCB1
NBMX,HDFC0CNSBMV
NCBL,KKBK0TNCB02
NCBX,UTIB0SNWS01
NCCX,HDFC0CNCCBL
NCOX,HDFC0CNUB01
NCUX,FDRL0NCUB01
NDCB,IBKL0452ND1
NDCX,TNSC0010700
NDDX,WBSC0NDCB01
NDOX,ORCB0NGR001
NESF,NESF0000001
NEYX,KKBK0NTCUB1
NGBX,YESB0NSB001
NGKX,INDB0NSBG01
NGNX,HDFC0CNGUBL
NGRX,IBKL01064NS
NGSB,NGSB0000001
NGSX,HDFC0CNSBLD
NGUX,HDFC0CNUCB2
NICB,NICB0000001
NIDX,ICIC00NIDHI
NILX,HDFC0CNUCBH
NIRX,HDFC0CNB311
NIUX,IBKL0340NCU
NJCX,ICIC00NVJVN
NJGX,BKID0NAMRGB
NJMX,HDFC0CNJMVB
NJSX,IBKL0458NJM
NKGS,NKGS0000001
NLGX,APBL0023001
NMCB,NMCB0000001
NMCX,IBKL0123NMC
NNCX,GSCB0UNNCBL
NNSB,NNSB0000001
NOBX,YESB0NCB001
NOIX,INDB0NCCB00
NOSC,NOSC0000MUM
NPCX,UTIB0NPCB01
NPKX,KKBK0NZSPK1
NRDX,YESB0NRDB01
NRMX,UTIB0SNRP03
NSBB,IBKL0100NS2
NSBX,IBKL0015NSB
NSCX,UTIB0SNSCB1
NSGX,YESB0NBGKPI
NSJX,HDFC0CNSBMJ
NSMX,NA
NSPB,NSPB0000001
NSPX,ICIC00NGSBL
NSRX,HDFC0CNSBLR
NTBL,NTBL0DEL080
NUBX,HDFC0CNUCBL
NUCX,KKBK0NCUB01
NULX,IBKL01870N1
NVCX,HDFC0CNUCBK
NVSX,YESB0NVSB01
NWCX,YESB0NCCB01
ODCX,YESB0DCC001
ODGB,IOBA0ROGB01
OIBA,DOHB0000001
OMCX,HDFC0COMC01
ONSX,YESB0OMKAR1
ORCB,ORCB0000001
OSMX,HDFC0COJSBL
PABX,IDIB0PLB001
PACX,RSCB0029099
PADX,GSCB0UPNSBL
PALX,HDFC0CPUB04
PANX,GSCB0PDC001
PARX,YESB0PDBHO1
PASX,UCBA0RRBPBG
PAYX,IBKL0340PC1
PBGX,IDIB0PBG001
PCBL,HDFC0CPATAN
PCBX,HDFC0CPCB01
PCCB,WBSC0PCCB01
PCCX,UTIB0SPKL01
PCMX,YESB0PMCB02
PCOX,SVCB0009002
PCPX,IBKL0087PCS
PCSX,TNSC0160101
PCTX,HDFC0CPCSBL
PCUX,YESB0PCUB01
PDBX,YESB0PDCCBL
PDCX,HDFC0CPDCCB
PDSX,KKBK0PNSB01
PDUX,PUCB0000002
PGBX,PKGB0000001
PGCX,KKBK0PCBL01
PGRX,HDFC0CPUCBL
PGTX,GSCB0UTPCBL
PITX,IBKL0768PJS
PJSB,PJSB0000001
PKBX,YESB0PKUB01
PLUX,UTIB0SPSB01
PMCX,HDFC0CPIMCO
PMEC,PMEC0000001
PMNX,YESB0PMNSB1
PNCX,YESB0PUCB01
PNMX,IBKL0548PMC
PNPX,NA
PNSX,HDFC0CPNSBL
PPBX,IBKL0548PPC
PPCX,HDFC0CPPCB1
PRCX,IBKL01272PC
PREX,HDFC0CPRCBL
PROX,HDFC0CPMCBL
PRPX,YESB0PSCB01
PRSX,HDFC0CPSBLN
PRUX,NA
PSBX,YESB0PSB002
PSCX,UTIB0PSCB01
PSIB,PSIB0000001
PSRX,APBL0009002
PSSX,IBKL0464PSS
PTCX,UTIB0SPCB01
PTNX,HDFC0CPUBLP
PTSX,GSCB0UPATAN
PUBX,HDFC0CPUCOB
PUCX,YESB0PUB001
PUDX,TNSC0010900
PUGX,PUNB0PGB003
PUNB,PUNB0244200
PUNX,HDFC0CCPUBL
PUSX,NA
PUUX,YESB0TPUCB1
PVAX,IBKL0087PSB
PVCX,ICIC00PURVA
PWUX,YESB0TPCB02
PYCX,IBKL0114PCB
PYTM,PYTM0000001
QNBX,HDFC0CQNB01
QUCX,IBKL0737Q01
RABO,RABO0000001
RACX,ICIC00RCCBL
RAEX,UTIB0SRECB1
RAJX,YESB0RUCB05
RAKX,IBKL01642RP
RAMX,HDFC0CRMUCB
RANX,HDFC0CRPCBL
RATN,RATN0TREASU
RAUX,YESB0RLB001
RBBX,RRBP0000001
RBCX,INDB0RBECBL
RBIN,RBIS0RBIPI0
RCBX,HDFC0CRNGCB
RCCX,UTIB0SRCB01
RCDX,TNSC0011000
RCMX,YESB0RCUB01
RCUX,KKBK0RCUB01
RDCX,IBKL0299RDC
RDNX,HDFC0CRNSSB
REBX,IBKL0116RSB
RECX,YESB0RECBS1
REWX,UTIB0REWA01
RGSX,RSBL0000001
RHMX,HDFC0CRLMUB
RJCX,WBSC0RCCB03
RJJX,HDFC0CRCBLB
RJNX,GSCB0URNSBL
RJTX,GSCB0RJT001
RLUX,HDFC0CRLUCB
RNBX,HDFC0CRANUJ
RNDX,IBKL0574RDC
RNGX,KKBK0RRUB01
RNSB,RNSB0000001
RNSX,ICIC00RNSBL
ROCX,IBKL01066RC
ROHX,UTIB0RCCB01
RPUX,ICIC00RUCBL
RRSX,YESB0RSBL01
RSCB,RSCB0000001
RSSX,HDFC0CRSSBL
RSUX,IBKL0080RUC
RSVX,IBKL0464GSB
RUCX,UTIB0SRUCB1
RUKX,KKBK0SRSB01
RUMX,HDFC0CTRUMC
RZSX,ICIC00RAMPR
SABX,KKBK0SSBL02
SACB,ICIC00ARIHT
SACX,HDFC0CSCBL1
SADX,GSCB0SKB001
SAGX,SBIN0RRSRGB
SAHX,HDFC0CSBL02
SAIX,HDFC0CSSB01
SAMX,SRCB0SAM001
SANX,UTIB0SSNS01
SAOX,UTIB0SAMMCB
SAPX,ICIC00SMSBL
SARX,UTIB0SSMC01
SASA,SVCB0013002
SASX,UTIB0SAS001
SATX,YESB0SATYA0
SAUX,NA
SAVX,HDFC0CSVSBL
SAWX,RSCB0030099
SBCR,UTIB0SBUBRN
SBCX,ICIC00SBCUB
SBIN,SBIN0004343
SBKX,HDFC0CCBSBK
SBLD,HDFC0CSBLIN
SBLX,YESB0SLMCB2
SBMX,INDB0SBMC01
SBNX,GSCB0USBNBL
SBPS,UTIB0SBPSBN
SBPX,UTIB0SBPP02
SBUJ,HDFC0CBHRAT
SBUX,ICIC00SBUCB
SCBL,SCBL0036001
SCBX,RSCB0032099
SCCX,TNSC0011100
SCDX,IBKL078SCDC
SCIX,HDFC0CSCBL2
SCNX,HDFC0CSCNSB
SCOB,IBKL0041SCB
SCOX,KSCB0005001
SCPX,UTIB0SCCB01
SCSX,INDB0SCSC02
SCUX,HDFC0CSUCUB
SDBX,HDFC0CSAMAT
SDCB,SDCB0000001
SDCX,HDFC0CSINDC
SDHX,HDFC0CSIDDH
SDSX,IBKL0485SDC
SDTC,IBKL01340DT
SDTX,ORCB0SBP001
SDUX,HDFC0CSUDHA
SEMX,IBKL0297TSM
SENX,UTIB0SSNSBL
SEUX,ICIC00SEVUC
SEWX,HDFC0CSMSSB
SGCX,IBKL0487SDC
SGDX,ORCB0SUN001
SGSX,HDFC0CSNSBM
SGUX,HDFC0CSGUCB
SHAX,SVCB0023002
SHBK,SHBK0000001
SHBX,HDFC0CSUB01
SHCX,YESB0SUCB01
SHEX,HDFC0CSSBNK
SHGX,SVCB0019002
SHIX,SMCB0000001
SHKX,SKSB0000001
SHMX,YESB0SCUB01
SHNX,UTIB0SKNS01
SHOX,HDFC0CHOKSB
SHRX,YESB0SMBLHO
SHSX,HDFC0CSHSBL
SHUB,UTIB0S01SUB
SIBL,SIBL0002002
SIBX,RSCB0031099
SICX,UTIB0SIRS01
SIHX,HDFC0CSNSBH
SINX,GSCB0USHNBL
SIRX,SVCB0025002
SISX,UTIB0SSSBL1
SITX,IBKL0719SCB
SIWX,IBKL01076SB
SJSX,SJSB0000001
SKCX,YESB0SCB003
SKKX,IBKL0108SIC
SKNX,HDFC0CSNSB0
SKUX,IBKL0116SBK
SLCX,HDFC0CSLCBL
SMBC,SMBC0000001
SMBX,IBKL0459SBS
SMCX,HDFC0CTSMCB
SMNX,HDFC0CMNSAA
SMSX,IBKL0069SMS
SMTX,HDFC0CSANBK
SMUX,HDFC0CSMUCB
SMVC,INDB0VCB001
SMWX,NA
SNAX,HDFC0CSNCBL
SNBX,GSCB0UTSNBL
SNCX,IBKL0729SUC
SNDX,YESB0SIND01
SNGX,HDFC0CTSCBL
SNKX,NA
SNPX,UTIB0SONE01
SNSV,UTIB0SSNSBK
SNSX,YESB0SNSB01
SOBX,SVCB0029002
SOGE,SOGE0INBB00
SOLX,YESB0SDC001
SONX,HDFC0CSNSBL
SPBX,IDIB0SGB001
SPCB,SPCB0251TIM
SPCX,IBKL01600SP
SPNX,IBKL0464PNS
SPSX,IBKL0776SPS
SPTX,IBKL0116SSB
SRCB,SRCB0NGRTGS
SRCX,HDFC0CSBCBL
SREX,HDFC0CSHREE
SRGX,SVCB0020002
SRHX,IBKL01642SD
SRSX,IBKL0478SNB
SSBL,TSSB0000001
SSBX,HDFC0CSDSBL
SSDX,HDFC0CSUCOB
SSKX,IBKL0041SSB
SSLX,HDFC0CSSUCB
SSNX,INDB0SSBN01
SSOX,ICIC00SMRTH
SSSX,HDFC0CSSSBL
SSWX,UTIB0SSUCB1
STCB,STCB0000065
STCX,IBKL0617STB
STDX,IBKL0065SDC
STRX,HDFC0CSTUCB
SUBX,PUNB0SUPGB5
SUCX,HDFC0CSUCBL
SUDX,GSCB0SNR001
SULX,ICIC00SULCB
SUMX,YESB0SMCB05
SUNB,HDFC0CSNCBR
SURX,ICIC00SIDUC
SURY,SURY0000001
SUSB,NA
SUSX,IBKL0069S01
SUTB,SUTB0000001
SUVX,HDFC0CSUVRN
SVAX,IBKL0365SVC
SVCB,SVCB0000001
SVCX,IBKL0443SCC
SVGX,TNSC0011900
SVMC,UTIB0SSVMCB
SVNX,ICIC00SHNSB
SVOX,YESB0SSBL01
SVRX,YESB0SVSB01
SVSX,PMEC0USVSBL
SWMX,HDFC0CSWMUB
SWSX,HDFC0CSWSBL
TACX,YESB0ACB002
TADX,APBL0012001
TAMX,UTIB0SAMC01
TAPX,HDFC0CTUCOB
TASX,HDFC0CMAHAD
TAUB,UTIB0STAUCB
TBCX,IBKL0008BCB
TBDX,UTIB0SBLDB1
TBHX,UTIB0SBPCB1
TBMX,GSCB0UBMCBL
TBNS,GSCB0UTBSBL
TBPX,IBKL01606BP
TBSB,TBSB0000001
TBSX,YESB0BSCB01
TBUX,IBKL0114BCU
TCBX,YESB0RAJ001
TCCX,HDFC0CTCCBK
TCHX,IBKL0693TCB
TCPX,NA
TCUB,NA
TCUX,NA
TDBX,KSCB0018001
TDCB,TDCB0000001
TDIX,APBL0004001
TDMX,HDFC0CDMCBL
TDSX,NA
TECX,HDFC0CEENAD
TEHX,IBKL070TGZS
TEMX,INDB0TMCB01
TESX,YESB0TCB002
TETX,HDFC0CTTCBL
TFCX,UTIB0FCCB01
TGBX,PUNB0RRBTGB
TGCG,IBKL01720GU
TGCX,WBSC0TCCB01
TGDX,UTIB0SGDC01
TGMB,TGMB0000001
TGNX,HDFC0CGNCBL
TGUX,HDFC0CTGUCB
THCX,IBKL0401THC
THMX,HDFC0CHMCBL
THOX,TNSC0012100
THRX,IBKL0296RDC
THWX,WBSC0HCCB01
TIDX,TNSC0012000
TIRX,TNSC0011500
TJAX,RSCB0036099
TJBX,IBKL01340JC
TJCX,TNSC0011300
TJDX,ICIC00JDCCB
TJMX,IBKL0086JMC
TJNX,GSCB0UJAMNA
TJSB,TJSB0000001
TKAX,GSCB0UTKSBL
TKCX,IBKL0280KCB
TKTX,UTIB0SKCU78
TKUX,HDFC0CKUCBK
TLPX,HDFC0CLPCBL
TMAX,HDFC0CMPLTB
TMBL,TMBL0000200
TMBX,IBKL0078MCC
TMCX,IBKL01075MC
TMNX,KKBK0MCUB01
TMPX,IBKL0420MPC
TMSC,KKBK0MSCMB1
TMSX,KKBK0MNSB01
TMTX,IBKL0078MCT
TMUX,HDFC0CMUCB1
TNBX,GSCB0UMNCBL
TNCX,IBKL01248NC
TNEX,INDB0NNCB01
TNHX,HDFC0CNHUCB
TNIX,TNSC0015000
TNKX,HDFC0CNEELA
TNMX,IBKL0500NMC
TNSC,TNSC0099999
TNUX,HDFC0CNUCBN
TOCX,IBKL0763OCB
TPCX,IBKL0140PCC
TPDX,APBL0008001
TPSX,ICIC00TSCBL
TPUX,IBKL0763P10
TRAX,YESB0TPBL01
TRDX,TNSC0011400
TSAB,TSAB0000001
TSBX,IBKL0782SBC
TSCX,HDFC0CTSGCB
TSDX,APBL0001001
TSIX,IBKL0158SCU
TSKX,ORCB0ASK001
TSMX,GSCB0USMCBL
TSNX,IBKL0763SCU
TSPX,GSCB0USATHM
TSSX,NA
TSUX,GSCB0USAURA
TTCX,UTIB0STTN01
TTGX,IBKL0608TUC
TTLX,NA
TTUX,ICIC00TUCBL
TUBX,HDFC0CTR384
TUCL,HDFC0CUCBLM
TUCX,HDFC0CTUB02
TUDX,ICIC00TUCBD
TUMX,ICIC00UMUCB
TUNX,HDFC0CUCBNR
TUOX,IBKL0236UCS
TUPX,NA
TURX,YESB0TURA01
TVBX,NA
TVDX,APBL0002001
TVPX,HDFC0CVPCBL
TVUX,ICIC00TVUCB
TYCX,INDB0STCB01
UBBX,ICIC00BASTI
UBGX,CBIN0R10001
UBIN,UBIN0550451
UCBA,UCBA0000001
UCBS,NA
UCBX,IBKL0232UCB
UCCX,RSCB0035008
UCDX,YESB0DUCB01
UCUX,HDFC0CUCUB9
UGBX,SBIN0RRUKGB
UJSX,GSCB0UUNJBL
UKGX,CBIN0R40012
UMAX,YESB0UMA002
UMCX,HDFC0CUUCB2
UMSX,YESB0MSB002
UMUX,YESB0UMIB01
UNAX,HDFC0CUPCBA
UNIX,GSCB0UUCOBL
UNMX,YESB0UMCBHO
UNSX,GSCB0UUNSBL
UPCX,UPCB0000001
UPNX,ORCB0UPN001
URCX,ICIC00SIDRH
URDX,IBKL01263UC
URMX,IBKL01269UB
UROX,YESB0UCBR01
USFB,UJVN0000001
USNX,ICIC00USNDC
UTBX,HDFC0CTUCB1
UTCX,HDFC0CUCOBL
UTGX,SBIN0RRUTGB
UTIB,UTIB0000248
UTKS,UTKS0000001
UTKX,ICIC00USCBD
UTZX,YESB0DCBU01
UUCX,UUCB0000001
VADX,GSCB0VDC001
VAIX,IBKL0501VSB
VANX,UTIB0SVNS01
VARA,VARA0000001
VASX,YESB0VASB01
VAUX,KKBK0VUCB01
VCAX,YESB0VCA001
VCBX,HDFC0CVCBLN
VCCX,HDFC0CSVCBL
VCNB,YESB0VNB001
VCOX,IBKL0116VMC
VDCX,TNSC0012200
VDYX,HDFC0CVCBL1
VEDX,TNSC0011600
VERX,HDFC0CVMCBA
VGBX,SBIN0RRVCGB
VHDX,IBKL0724VDC
VICX,KKBK0VCCB01
VIDX,WBSC0VCCB01
VIJX,VCOB0000001
VIKX,YESB0VNSB01
VIMX,GSCB0UVIRAM
VIRX,TNSC0011800
VISX,IBKL0031VCB
VJSX,VASJ0000001
VKCX,IBKL0452VK1
VKSX,HDFC0CVSBLS
VMCX,HDFC0CVB003
VMMX,YESB0VMCB04
VMUX,YESB0VMUB04
VNSX,ICIC00VNSBL
VSBL,VSBL0000001
VSBX,SVCB0003002
VSCX,ICIC00VSCBL
VSSX,HDFC0CVSBHO
VSVX,YESB0VSV001
VUCX,HDFC0CVUCBL
VVCX,HDFC0CVVCCB
VVSB,VVSB0000001
VYAX,YESB0VSBL02
VYPX,HDFC0CVSBMS
WACX,IBKL0553TWU
WAIX,SVCB0016101
WARX,APBL0021001
WAUX,IBKL0510WUC
WBSC,WBSC0000001
WCBX,HDFC0CWOMEN
WKGX,BKID0WAINGB
WNBX,YESB0WANA01
WRCX,YESB0WUCB01
WUCX,HDFC0CWUCBL
WZUX,UTIB0SWJP01
XJKG,JAKA0GRAMEN
YADX,YESB0YDC001
YAVX,IBKL0041Y01
YCBX,HDFC0CYACBP
YESB,YESB0000001
YLNX,YESB0YLNS01
YNCX,UTIB0YCCB01
YNSX,HDFC0CYNSBL
ZBBX,ICIC00BULND
ZBSX,ICIC00MZSBL
ZCBL,ZCBL0000001
ZIBX,ICIC00ZSBLB
ZILX,ICIC00UDCCB
ZIMX,ICIC00MIRZA
ZISX,YESB0ZSBL15
ZLLX,ICIC00LDCBL
ZMMX,ICIC00MORAD
ZRNB,IBKL0101BZR
ZSAX,ICIC00ZSMAU
ZSBG,ICIC00DCCBG
ZSBL,ZSBL0000001
ZSBX,ICIC00BIJNR
ZSGX,ICIC00ZSKTW
ZSHX,ICIC00ZSBHA
ZSJX,ICIC00ZSBLJ
ZSKX,ICIC00KZSBL
ZSLX,ICIC00KHIRI
ZSMX,ICIC00MERUT
APRR,NA
BALB,HDFC0CBCBLH
BBDX,WBSC0BIRB02
DSAX,ICIC00DCBSU
NPPX,HDFC0CNPCCB
PHIX,HDFC0CTPHCB
AMZX,KKBK0AZMSB1
AZDX,UPCB00ZSBLA
BSNX,GSCB0UTBNBL
CHNX,GSCB0UCNSBL
CPNX,GSCB0UCHAPI
DBJX,UPCB00ZSBJR
JIUX,IBKL0JCB001
JMNX,IBKL0052JMM
KLUX,GSCB0UKALOL
KONX,UTIB0SKSBLC
KTMX,GSCB0UKUTCH
MINX,UTIB0SMCB02
MJPX,GSCB0UMEHSA
MNWX,UTIB0SMANWT
NBPX,HDFC0CTNPCB
NBSX,HDFC0CNICBL
NCDX,IBKL0510N01
NMNX,KKBK0NMPK01
NSDL,
PCDX,HDFC0CPCBLD
PNVX,IBKL0189PCU
PYYX,ICIC00PCTBL
RTCX,UTIB0SRSSB1
SSAX,GSCB0USAVLI
TCNX,GSCB0UCHANA
UCTX,UTIB0SUCTBL
UDVX,HDFC0CUDYAM
CRES,CRES0000001
BNTX,YESB0CTBTCB
DHSX,UTIB0SDHUSB
ELRX,UTIB0STECUB
JAPX,UTIB0SJCUB2
MORX,GSCB0USMNBL
MVTX,IBKL01058M1
TCTX,IBKL0737CU1
VSMX,HDFC0CVASM1
BKTX,YESB00BTCBL
AGEX,HDFC0CAGSBK
HNSX,GSCB0UHARIJ
SNMX,HDFC0CSMNSB
STNX,GSCB0USUCBL
TSVX,
SSMX,HDFC0CSSSSN
VUVX,GSCB0UVEPAR
DVSX,ICIC00DVSBL
FDCX,UPCB00FDCCL
GKCX,IBKL0078GOK
IBKO,IBKO0000001
NDIX,ICIC00NDIMC
SRIX,YESB0SSSNSB
YDCX,HDFC0CYDCBL
TLCX,IBKL01154T1
ISUX,YESB0TIUB01
GGNX,GSCB0UGVNBL
BDSX,IBKL0467BDS
BSDX,HDFC0CNSBGB
BRNX,GSCB0UBAR01
TBOX,GSCB0UURBAN
TBEX,HDFC0CBECB1
GDOX,GSCB0UGCCBL
